Flight_ID,DepartureDateTime,ArivalDateTime
UA560,25/11/2021: 8:30 am,25/11/2021: 9:30 pm
B6624,30/11/2021: 11:30 am,30/11/2021: 5:30 pm
DL5841,27/11/2021: 12:30 pm,27/11/2021: 9:30 pm
DL1149,26/11/2021: 10:30 am,26/11/2021: 9:30 pm
G4529,24/11/2021: 10:30 pm,25/11/2021: 5:30 am
G4154,28/11/2021: 8:30 am,28/11/2021: 1:30 pm
G4155,01/12/2021: 5:30 am,01/12/2021: 3:30 pm
HA48,04/12/2021: 1:30 am,04/12/2021: 12:30 pm
AA1522,03/12/2021: 1:30 pm,03/12/2021: 11:30 pm
AA3472,05/12/2021: 11:30 am,05/12/2021: 6:30 pm
WN380,02/12/2021: 12:30 pm,02/12/2021: 8:30 pm
